MEASURE,C_RESID,NUTS,NACE_R2,TIME_PERIOD,DEGURBA,OBS_VALUE,OBS_STATUS,CONF_STATUS,UNIT,UNIT_MULT
occ_ni,FOR,FR,I551TOI553,2015,DEG1,59330524,A,F,NR,
occ_ni,FOR,FR1,I551TOI553,2015,DEG1,34380641,A,F,NR,
occ_ni,FOR,FR10,I551TOI553,2015,DEG1,34380641,A,F,NR,
occ_ni,FOR,FR2,I551TOI553,2015,DEG1,3108994,A,F,NR,
occ_ni,FOR,FR21,I551TOI553,2015,DEG1,538147,A,F,NR,
occ_ni,FOR,FR22,I551TOI553,2015,DEG1,279488,A,F,NR,
occ_ni,FOR,FR23,I551TOI553,2015,DEG1,434206,A,F,NR,
occ_ni,FOR,FR24,I551TOI553,2015,DEG1,837077,A,F,NR,
occ_ni,FOR,FR25,I551TOI553,2015,DEG1,348429,A,F,NR,
occ_ni,FOR,FR26,I551TOI553,2015,DEG1,671648,A,F,NR,
occ_ni,FOR,FR3,I551TOI553,2015,DEG1,1430853,A,F,NR,
occ_ni,FOR,FR30,I551TOI553,2015,DEG1,1430853,A,F,NR,
occ_ni,FOR,FR4,I551TOI553,2015,DEG1,2728341,A,F,NR,
occ_ni,FOR,FR41,I551TOI553,2015,DEG1,428135,A,F,NR,
occ_ni,FOR,FR42,I551TOI553,2015,DEG1,2049905,A,F,NR,
occ_ni,FOR,FR43,I551TOI553,2015,DEG1,250302,A,F,NR,
occ_ni,FOR,FR5,I551TOI553,2015,DEG1,1812682,A,F,NR,
occ_ni,FOR,FR51,I551TOI553,2015,DEG1,658989,A,F,NR,
occ_ni,FOR,FR52,I551TOI553,2015,DEG1,695980,A,F,NR,
occ_ni,FOR,FR53,I551TOI553,2015,DEG1,457712,A,F,NR,
occ_ni,FOR,FR6,I551TOI553,2015,DEG1,2576080,A,F,NR,
occ_ni,FOR,FR61,I551TOI553,2015,DEG1,1515870,A,F,NR,
occ_ni,FOR,FR62,I551TOI553,2015,DEG1,936187,A,F,NR,
occ_ni,FOR,FR63,I551TOI553,2015,DEG1,124023,A,F,NR,
occ_ni,FOR,FR7,I551TOI553,2015,DEG1,2422200,A,F,NR,
occ_ni,FOR,FR71,I551TOI553,2015,DEG1,2233203,A,F,NR,
occ_ni,FOR,FR72,I551TOI553,2015,DEG1,188998,A,F,NR,
occ_ni,FOR,FR8,I551TOI553,2015,DEG1,10820551,A,F,NR,
occ_ni,FOR,FR81,I551TOI553,2015,DEG1,2161508,A,F,NR,
occ_ni,FOR,FR82,I551TOI553,2015,DEG1,8555031,A,F,NR,
occ_ni,FOR,FR83,I551TOI553,2015,DEG1,104012,A,F,NR,
occ_ni,FOR,FRA,I551TOI553,2015,DEG1,50182,A,F,NR,
occ_ni,FOR,FRA1,I551TOI553,2015,DEG1,0,A,F,NR,
occ_ni,FOR,FRA2,I551TOI553,2015,DEG1,19545,A,F,NR,
occ_ni,FOR,FRA3,I551TOI553,2015,DEG1,0,A,F,NR,
occ_ni,FOR,FRA4,I551TOI553,2015,DEG1,30637,A,F,NR,
occ_ni,FOR,FRA5,I551TOI553,2015,DEG1,0,A,F,NR,
occ_ni,FOR,FR,I551TOI553,2015,DEG2,28541121,A,F,NR,
occ_ni,FOR,FR1,I551TOI553,2015,DEG2,6754234,A,F,NR,
occ_ni,FOR,FR10,I551TOI553,2015,DEG2,6754234,A,F,NR,
occ_ni,FOR,FR2,I551TOI553,2015,DEG2,2958301,A,F,NR,
occ_ni,FOR,FR21,I551TOI553,2015,DEG2,223880,A,F,NR,
occ_ni,FOR,FR22,I551TOI553,2015,DEG2,265467,A,F,NR,
occ_ni,FOR,FR23,I551TOI553,2015,DEG2,215879,A,F,NR,
occ_ni,FOR,FR24,I551TOI553,2015,DEG2,592709,A,F,NR,
occ_ni,FOR,FR25,I551TOI553,2015,DEG2,853673,A,F,NR,
occ_ni,FOR,FR26,I551TOI553,2015,DEG2,806694,A,F,NR,
occ_ni,FOR,FR3,I551TOI553,2015,DEG2,291396,A,F,NR,
occ_ni,FOR,FR30,I551TOI553,2015,DEG2,291396,A,F,NR,
occ_ni,FOR,FR4,I551TOI553,2015,DEG2,1288022,A,F,NR,
occ_ni,FOR,FR41,I551TOI553,2015,DEG2,554386,A,F,NR,
occ_ni,FOR,FR42,I551TOI553,2015,DEG2,594351,A,F,NR,
occ_ni,FOR,FR43,I551TOI553,2015,DEG2,139285,A,F,NR,
occ_ni,FOR,FR5,I551TOI553,2015,DEG2,2154217,A,F,NR,
occ_ni,FOR,FR51,I551TOI553,2015,DEG2,838735,A,F,NR,
occ_ni,FOR,FR52,I551TOI553,2015,DEG2,1053411,A,F,NR,
occ_ni,FOR,FR53,I551TOI553,2015,DEG2,262070,A,F,NR,
occ_ni,FOR,FR6,I551TOI553,2015,DEG2,3038723,A,F,NR,
occ_ni,FOR,FR61,I551TOI553,2015,DEG2,1209644,A,F,NR,
occ_ni,FOR,FR62,I551TOI553,2015,DEG2,1809999,A,F,NR,
occ_ni,FOR,FR63,I551TOI553,2015,DEG2,19080,A,F,NR,
occ_ni,FOR,FR7,I551TOI553,2015,DEG2,3071530,A,F,NR,
occ_ni,FOR,FR71,I551TOI553,2015,DEG2,2898784,A,F,NR,
occ_ni,FOR,FR72,I551TOI553,2015,DEG2,172746,A,F,NR,
occ_ni,FOR,FR8,I551TOI553,2015,DEG2,8744058,A,F,NR,
occ_ni,FOR,FR81,I551TOI553,2015,DEG2,2822578,A,F,NR,
occ_ni,FOR,FR82,I551TOI553,2015,DEG2,5396575,A,F,NR,
occ_ni,FOR,FR83,I551TOI553,2015,DEG2,524905,A,F,NR,
occ_ni,FOR,FRA,I551TOI553,2015,DEG2,240642,A,F,NR,
occ_ni,FOR,FRA1,I551TOI553,2015,DEG2,70509,A,F,NR,
occ_ni,FOR,FRA2,I551TOI553,2015,DEG2,16654,A,F,NR,
occ_ni,FOR,FRA3,I551TOI553,2015,DEG2,58857,A,F,NR,
occ_ni,FOR,FRA4,I551TOI553,2015,DEG2,94622,A,F,NR,
occ_ni,FOR,FRA5,I551TOI553,2015,DEG2,0,A,F,NR,
occ_ni,FOR,FR,I551TOI553,2015,DEG3,42593352,A,F,NR,
occ_ni,FOR,FR1,I551TOI553,2015,DEG3,2081365,A,F,NR,
occ_ni,FOR,FR10,I551TOI553,2015,DEG3,2081365,A,F,NR,
occ_ni,FOR,FR2,I551TOI553,2015,DEG3,5106991,A,F,NR,
occ_ni,FOR,FR21,I551TOI553,2015,DEG3,489958,A,F,NR,
occ_ni,FOR,FR22,I551TOI553,2015,DEG3,884470,A,F,NR,
occ_ni,FOR,FR23,I551TOI553,2015,DEG3,387191,A,F,NR,
occ_ni,FOR,FR24,I551TOI553,2015,DEG3,930046,A,F,NR,
occ_ni,FOR,FR25,I551TOI553,2015,DEG3,1350460,A,F,NR,
occ_ni,FOR,FR26,I551TOI553,2015,DEG3,1064866,A,F,NR,
occ_ni,FOR,FR3,I551TOI553,2015,DEG3,483098,A,F,NR,
occ_ni,FOR,FR30,I551TOI553,2015,DEG3,483098,A,F,NR,
occ_ni,FOR,FR4,I551TOI553,2015,DEG3,2671663,A,F,NR,
occ_ni,FOR,FR41,I551TOI553,2015,DEG3,952295,A,F,NR,
occ_ni,FOR,FR42,I551TOI553,2015,DEG3,995398,A,F,NR,
occ_ni,FOR,FR43,I551TOI553,2015,DEG3,723969,A,F,NR,
occ_ni,FOR,FR5,I551TOI553,2015,DEG3,5576126,A,F,NR,
occ_ni,FOR,FR51,I551TOI553,2015,DEG3,1784974,A,F,NR,
occ_ni,FOR,FR52,I551TOI553,2015,DEG3,2489573,A,F,NR,
