MEASURE,C_RESID,NUTS,NACE_R2,TIME_PERIOD,PARTNER,OBS_VALUE,OBS_STATUS,CONF_STATUS,UNIT,UNIT_MULT
occ_arr,FOR,FR,I551,2015,EUR,23732564,A,F,NR,
occ_arr,FOR,FR,I551,2015,EU28,20747248,A,F,NR,
occ_arr,FOR,FR,I551,2015,BE,2938798,A,F,NR,
occ_arr,FOR,FR,I551,2015,BG,50578,A,F,NR,
occ_arr,FOR,FR,I551,2015,CZ,143049,A,F,NR,
occ_arr,FOR,FR,I551,2015,DK,229387,A,F,NR,
occ_arr,FOR,FR,I551,2015,DE,3232258,A,F,NR,
occ_arr,FOR,FR,I551,2015,EE,20564,A,F,NR,
occ_arr,FOR,FR,I551,2015,IE,236479,A,F,NR,
occ_arr,FOR,FR,I551,2015,EL,94678,A,F,NR,
occ_arr,FOR,FR,I551,2015,ES,2185234,A,F,NR,
occ_arr,FOR,FR,I551,2015,HR,25141,A,F,NR,
occ_arr,FOR,FR,I551,2015,IT,2339570,A,F,NR,
occ_arr,FOR,FR,I551,2015,CY,11894,A,F,NR,
occ_arr,FOR,FR,I551,2015,LV,16994,A,F,NR,
occ_arr,FOR,FR,I551,2015,LT,35752,A,F,NR,
occ_arr,FOR,FR,I551,2015,LU,185615,A,F,NR,
occ_arr,FOR,FR,I551,2015,HU,76595,A,F,NR,
occ_arr,FOR,FR,I551,2015,MT,20385,A,F,NR,
occ_arr,FOR,FR,I551,2015,NL,1724461,A,F,NR,
occ_arr,FOR,FR,I551,2015,AT,207460,A,F,NR,
occ_arr,FOR,FR,I551,2015,PL,324702,A,F,NR,
occ_arr,FOR,FR,I551,2015,PT,335430,A,F,NR,
occ_arr,FOR,FR,I551,2015,RO,185721,A,F,NR,
occ_arr,FOR,FR,I551,2015,SI,25042,A,F,NR,
occ_arr,FOR,FR,I551,2015,SK,47364,A,F,NR,
occ_arr,FOR,FR,I551,2015,FI,119541,A,F,NR,
occ_arr,FOR,FR,I551,2015,SE,298541,A,F,NR,
occ_arr,FOR,FR,I551,2015,UK,5636015,A,F,NR,
occ_arr,FOR,FR,I551,2015,EFTA,1810994,A,F,NR,
occ_arr,FOR,FR,I551,2015,IS,19396,A,F,NR,
occ_arr,FOR,FR,I551,2015,CH_LI,1608925,A,F,NR,
occ_arr,FOR,FR,I551,2015,NO,182674,A,F,NR,
occ_arr,FOR,FR,I551,2015,TR,192640,A,F,NR,
occ_arr,FOR,FR,I551,2015,RU,540096,A,F,NR,
occ_arr,FOR,FR,I551,2015,UA,0,A,F,NR,
occ_arr,FOR,FR,I551,2015,EUR_OTH,441585,A,F,NR,
occ_arr,FOR,FR,I551,2015,AFR,675086,A,F,NR,
occ_arr,FOR,FR,I551,2015,ZA,36313,A,F,NR,
occ_arr,FOR,FR,I551,2015,AFR_OTH,638773,A,F,NR,
occ_arr,FOR,FR,I551,2015,AME,5041284,A,F,NR,
occ_arr,FOR,FR,I551,2015,AME_N,3994461,A,F,NR,
occ_arr,FOR,FR,I551,2015,CA,481175,A,F,NR,
occ_arr,FOR,FR,I551,2015,US,3513286,A,F,NR,
occ_arr,FOR,FR,I551,2015,AME_N_OTH,0,A,F,NR,
occ_arr,FOR,FR,I551,2015,AME_C_S,1046823,A,F,NR,
