MEASURE,C_RESID,NUTS,NACE_R2,TIME_PERIOD,TERRTYPO,OBS_VALUE,OBS_STATUS,CONF_STATUS,UNIT,UNIT_MULT
occ_ni,FOR,FR,I551TOI553,2015,CST_A,35393266,A,F,NR,
occ_ni,FOR,FR1,I551TOI553,2015,CST_A,0,A,F,NR,
occ_ni,FOR,FR10,I551TOI553,2015,CST_A,0,A,F,NR,
occ_ni,FOR,FR2,I551TOI553,2015,CST_A,2704609,A,F,NR,
occ_ni,FOR,FR21,I551TOI553,2015,CST_A,0,A,F,NR,
occ_ni,FOR,FR22,I551TOI553,2015,CST_A,320759,A,F,NR,
occ_ni,FOR,FR23,I551TOI553,2015,CST_A,437368,A,F,NR,
occ_ni,FOR,FR24,I551TOI553,2015,CST_A,0,A,F,NR,
occ_ni,FOR,FR25,I551TOI553,2015,CST_A,1946482,A,F,NR,
occ_ni,FOR,FR26,I551TOI553,2015,CST_A,0,A,F,NR,
occ_ni,FOR,FR3,I551TOI553,2015,CST_A,1015851,A,F,NR,
occ_ni,FOR,FR30,I551TOI553,2015,CST_A,1015851,A,F,NR,
occ_ni,FOR,FR4,I551TOI553,2015,CST_A,0,A,F,NR,
occ_ni,FOR,FR41,I551TOI553,2015,CST_A,0,A,F,NR,
occ_ni,FOR,FR42,I551TOI553,2015,CST_A,0,A,F,NR,
occ_ni,FOR,FR43,I551TOI553,2015,CST_A,0,A,F,NR,
occ_ni,FOR,FR5,I551TOI553,2015,CST_A,6727962,A,F,NR,
occ_ni,FOR,FR51,I551TOI553,2015,CST_A,1708960,A,F,NR,
occ_ni,FOR,FR52,I551TOI553,2015,CST_A,3611800,A,F,NR,
occ_ni,FOR,FR53,I551TOI553,2015,CST_A,1407201,A,F,NR,
occ_ni,FOR,FR6,I551TOI553,2015,CST_A,4297057,A,F,NR,
occ_ni,FOR,FR61,I551TOI553,2015,CST_A,4297057,A,F,NR,
occ_ni,FOR,FR62,I551TOI553,2015,CST_A,0,A,F,NR,
occ_ni,FOR,FR63,I551TOI553,2015,CST_A,0,A,F,NR,
occ_ni,FOR,FR7,I551TOI553,2015,CST_A,0,A,F,NR,
occ_ni,FOR,FR71,I551TOI553,2015,CST_A,0,A,F,NR,
occ_ni,FOR,FR72,I551TOI553,2015,CST_A,0,A,F,NR,
occ_ni,FOR,FR8,I551TOI553,2015,CST_A,19992571,A,F,NR,
occ_ni,FOR,FR81,I551TOI553,2015,CST_A,4974340,A,F,NR,
occ_ni,FOR,FR82,I551TOI553,2015,CST_A,12285072,A,F,NR,
occ_ni,FOR,FR83,I551TOI553,2015,CST_A,2733159,A,F,NR,
occ_ni,FOR,FRA,I551TOI553,2015,CST_A,655216,A,F,NR,
occ_ni,FOR,FRA1,I551TOI553,2015,CST_A,164427,A,F,NR,
occ_ni,FOR,FRA2,I551TOI553,2015,CST_A,300913,A,F,NR,
occ_ni,FOR,FRA3,I551TOI553,2015,CST_A,65615,A,F,NR,
occ_ni,FOR,FRA4,I551TOI553,2015,CST_A,124262,A,F,NR,
occ_ni,FOR,FRA5,I551TOI553,2015,CST_A,0,A,F,NR,
occ_ni,FOR,FR,I551TOI553,2015,NCST_A,95071732,A,F,NR,
occ_ni,FOR,FR1,I551TOI553,2015,NCST_A,43216240,A,F,NR,
occ_ni,FOR,FR10,I551TOI553,2015,NCST_A,43216240,A,F,NR,
occ_ni,FOR,FR2,I551TOI553,2015,NCST_A,8469676,A,F,NR,
occ_ni,FOR,FR21,I551TOI553,2015,NCST_A,1251984,A,F,NR,
occ_ni,FOR,FR22,I551TOI553,2015,NCST_A,1108666,A,F,NR,
occ_ni,FOR,FR23,I551TOI553,2015,NCST_A,599908,A,F,NR,
occ_ni,FOR,FR24,I551TOI553,2015,NCST_A,2359832,A,F,NR,
occ_ni,FOR,FR25,I551TOI553,2015,NCST_A,606080,A,F,NR,
occ_ni,FOR,FR26,I551TOI553,2015,NCST_A,2543208,A,F,NR,
occ_ni,FOR,FR3,I551TOI553,2015,NCST_A,1189496,A,F,NR,
occ_ni,FOR,FR30,I551TOI553,2015,NCST_A,1189496,A,F,NR,
occ_ni,FOR,FR4,I551TOI553,2015,NCST_A,6688026,A,F,NR,
occ_ni,FOR,FR41,I551TOI553,2015,NCST_A,1934816,A,F,NR,
occ_ni,FOR,FR42,I551TOI553,2015,NCST_A,3639654,A,F,NR,
occ_ni,FOR,FR43,I551TOI553,2015,NCST_A,1113555,A,F,NR,
occ_ni,FOR,FR5,I551TOI553,2015,NCST_A,2815063,A,F,NR,
occ_ni,FOR,FR51,I551TOI553,2015,NCST_A,1573738,A,F,NR,
occ_ni,FOR,FR52,I551TOI553,2015,NCST_A,627165,A,F,NR,
occ_ni,FOR,FR53,I551TOI553,2015,NCST_A,614160,A,F,NR,
occ_ni,FOR,FR6,I551TOI553,2015,NCST_A,8055071,A,F,NR,
occ_ni,FOR,FR61,I551TOI553,2015,NCST_A,3327631,A,F,NR,
occ_ni,FOR,FR62,I551TOI553,2015,NCST_A,4289740,A,F,NR,
occ_ni,FOR,FR63,I551TOI553,2015,NCST_A,437701,A,F,NR,
occ_ni,FOR,FR7,I551TOI553,2015,NCST_A,15113721,A,F,NR,
occ_ni,FOR,FR71,I551TOI553,2015,NCST_A,14249738,A,F,NR,
occ_ni,FOR,FR72,I551TOI553,2015,NCST_A,863983,A,F,NR,
occ_ni,FOR,FR8,I551TOI553,2015,NCST_A,9500117,A,F,NR,
occ_ni,FOR,FR81,I551TOI553,2015,NCST_A,2988503,A,F,NR,
occ_ni,FOR,FR82,I551TOI553,2015,NCST_A,6387355,A,F,NR,
occ_ni,FOR,FR83,I551TOI553,2015,NCST_A,124260,A,F,NR,
occ_ni,FOR,FRA,I551TOI553,2015,NCST_A,24322,A,F,NR,
occ_ni,FOR,FRA1,I551TOI553,2015,NCST_A,0,A,F,NR,
occ_ni,FOR,FRA2,I551TOI553,2015,NCST_A,0,A,F,NR,
occ_ni,FOR,FRA3,I551TOI553,2015,NCST_A,3638,A,F,NR,
occ_ni,FOR,FRA4,I551TOI553,2015,NCST_A,20683,A,F,NR,
occ_ni,FOR,FRA5,I551TOI553,2015,NCST_A,0,A,F,NR,
occ_ni,FOR,FR,I551,2015,CST_A,12384877,A,F,NR,
occ_ni,FOR,FR,I551,2015,NCST_A,62072050,A,F,NR,
occ_ni,FOR,FR,I552,2015,CST_A,5273540,A,F,NR,
occ_ni,FOR,FR,I552,2015,NCST_A,14690201,A,F,NR,
occ_ni,FOR,FR,I553,2015,CST_A,17734849,A,F,NR,
occ_ni,FOR,FR,I553,2015,NCST_A,18309480,A,F,NR,
occ_ni,NAT,FR,I551TOI553,2015,CST_A,106111342,A,F,NR,
occ_ni,NAT,FR1,I551TOI553,2015,CST_A,0,A,F,NR,
occ_ni,NAT,FR10,I551TOI553,2015,CST_A,0,A,F,NR,
occ_ni,NAT,FR2,I551TOI553,2015,CST_A,6999981,A,F,NR,
occ_ni,NAT,FR21,I551TOI553,2015,CST_A,0,A,F,NR,
occ_ni,NAT,FR22,I551TOI553,2015,CST_A,1035281,A,F,NR,
occ_ni,NAT,FR23,I551TOI553,2015,CST_A,1349846,A,F,NR,
occ_ni,NAT,FR24,I551TOI553,2015,CST_A,0,A,F,NR,
occ_ni,NAT,FR25,I551TOI553,2015,CST_A,4614854,A,F,NR,
occ_ni,NAT,FR26,I551TOI553,2015,CST_A,0,A,F,NR,
occ_ni,NAT,FR3,I551TOI553,2015,CST_A,1988054,A,F,NR,
occ_ni,NAT,FR30,I551TOI553,2015,CST_A,1988054,A,F,NR,
occ_ni,NAT,FR4,I551TOI553,2015,CST_A,0,A,F,NR,
occ_ni,NAT,FR41,I551TOI553,2015,CST_A,0,A,F,NR,
occ_ni,NAT,FR42,I551TOI553,2015,CST_A,0,A,F,NR,
occ_ni,NAT,FR43,I551TOI553,2015,CST_A,0,A,F,NR,
occ_ni,NAT,FR5,I551TOI553,2015,CST_A,35392614,A,F,NR,
occ_ni,NAT,FR51,I551TOI553,2015,CST_A,11641380,A,F,NR,
occ_ni,NAT,FR52,I551TOI553,2015,CST_A,15119169,A,F,NR,
occ_ni,NAT,FR53,I551TOI553,2015,CST_A,8632065,A,F,NR,
occ_ni,NAT,FR6,I551TOI553,2015,CST_A,13480008,A,F,NR,
occ_ni,NAT,FR61,I551TOI553,2015,CST_A,13480008,A,F,NR,
occ_ni,NAT,FR62,I551TOI553,2015,CST_A,0,A,F,NR,
occ_ni,NAT,FR63,I551TOI553,2015,CST_A,0,A,F,NR,
occ_ni,NAT,FR7,I551TOI553,2015,CST_A,0,A,F,NR,
occ_ni,NAT,FR71,I551TOI553,2015,CST_A,0,A,F,NR,
occ_ni,NAT,FR72,I551TOI553,2015,CST_A,0,A,F,NR,
occ_ni,NAT,FR8,I551TOI553,2015,CST_A,45396991,A,F,NR,
occ_ni,NAT,FR81,I551TOI553,2015,CST_A,17037251,A,F,NR,
occ_ni,NAT,FR82,I551TOI553,2015,CST_A,21685218,A,F,NR,
occ_ni,NAT,FR83,I551TOI553,2015,CST_A,6674523,A,F,NR,
occ_ni,NAT,FRA,I551TOI553,2015,CST_A,2853694,A,F,NR,
occ_ni,NAT,FRA1,I551TOI553,2015,CST_A,826291,A,F,NR,
occ_ni,NAT,FRA2,I551TOI553,2015,CST_A,1009089,A,F,NR,
occ_ni,NAT,FRA3,I551TOI553,2015,CST_A,242406,A,F,NR,
occ_ni,NAT,FRA4,I551TOI553,2015,CST_A,775909,A,F,NR,
occ_ni,NAT,FRA5,I551TOI553,2015,CST_A,0,A,F,NR,
occ_ni,NAT,FR,I551TOI553,2015,NCST_A,173476548,A,F,NR,
occ_ni,NAT,FR1,I551TOI553,2015,NCST_A,33594663,A,F,NR,
occ_ni,NAT,FR10,I551TOI553,2015,NCST_A,33594663,A,F,NR,
occ_ni,NAT,FR2,I551TOI553,2015,NCST_A,20709119,A,F,NR,
occ_ni,NAT,FR21,I551TOI553,2015,NCST_A,2601700,A,F,NR,
occ_ni,NAT,FR22,I551TOI553,2015,NCST_A,2736923,A,F,NR,
occ_ni,NAT,FR23,I551TOI553,2015,NCST_A,2577498,A,F,NR,
occ_ni,NAT,FR24,I551TOI553,2015,NCST_A,6931921,A,F,NR,
occ_ni,NAT,FR25,I551TOI553,2015,NCST_A,1639415,A,F,NR,
occ_ni,NAT,FR26,I551TOI553,2015,NCST_A,4221663,A,F,NR,
